sourcesiteid,AGGR_downlinkbitbuffer(%),AGGR_downlinkbytebuffer(%),AGGR_downlinkflowbuffer(%),downlinkcostbuffer(%),AGGR_downlinkbitbuffer,AGGR_downlinkbytebuffer,AGGR_downlinkflowbuffer,downlinkcostbuffer
10.102.214.162,99.9999982801,99.9999982801,99.9137663103,58.3333333333,9.92313357227e+12,4.46541010752e+15,88983520000.0,107520000.0
10.185.51.130,1.7198867927e-06,1.7198867927e-06,0.086233689706,41.6666666667,170666.666667,76800000.0,76800000.0,76800000.0
Total,100,100,100,100,9.92313374293e+12,4.46541018432e+15,89060320000.0,184320000.0
